ID,Day,Date,Time_x,Month,Total Vehicles,Vehicle Type_x,Payment Method_x,Location_x,Lane_x,Wind Speed,Precipitation,Snow,Max Temp,Min Temp,Violation ID,Time_y,Vehicle Type_y,Payment Method_y,Location_y,Lane_y,Violation,Traffic ID_x,Bus ID,Time,Departures,Passengers per Bus,Location,Traffic ID_y
2,Tuesday,2024-02-27,06:09:00,February,403,Auto,EZ Pass,Tunnel B,2,19.5,88.3,0.2,-3.0,11.9,102,11:11:00,Small Truck,Paid,Terminal C,3,False,3,373,16:40:00,2,82,Terminal C,425
192,Tuesday,2024-02-27,09:09:00,February,75,Bus,EZ Pass,Tunnel B,9,19.0,25.9,3.4,-0.7,23.4,102,11:11:00,Small Truck,Paid,Terminal C,3,False,3,373,16:40:00,2,82,Terminal C,425
457,Tuesday,2024-02-27,03:05:00,February,217,Bus,EZ Pass,Terminal C,8,1.8,34.8,2.0,18.4,12.5,102,11:11:00,Small Truck,Paid,Terminal C,3,False,3,373,16:40:00,2,82,Terminal C,425
4,Monday,2024-07-01,04:20:00,July,377,Large Truck,Cash,Terminal C,9,14.3,73.0,4.3,20.0,-2.6,443,15:50:00,Bus,Unpaid,Tunnel B,6,True,5,497,15:17:00,9,54,Bridge A,171
4,Monday,2024-07-01,04:20:00,July,377,Large Truck,Cash,Terminal C,9,14.3,73.0,4.3,20.0,-2.6,443,15:50:00,Bus,Unpaid,Tunnel B,6,True,5,499,23:05:00,9,83,Tunnel B,477
54,Monday,2024-07-01,21:34:00,July,400,Auto,EZ Pass,Bridge A,5,7.7,20.7,6.3,17.8,19.3,443,15:50:00,Bus,Unpaid,Tunnel B,6,True,5,497,15:17:00,9,54,Bridge A,171
54,Monday,2024-07-01,21:34:00,July,400,Auto,EZ Pass,Bridge A,5,7.7,20.7,6.3,17.8,19.3,443,15:50:00,Bus,Unpaid,Tunnel B,6,True,5,499,23:05:00,9,83,Tunnel B,477
315,Monday,2024-07-01,03:33:00,July,321,Auto,EZ Pass,Tunnel B,9,9.1,5.0,7.7,21.2,13.1,443,15:50:00,Bus,Unpaid,Tunnel B,6,True,5,497,15:17:00,9,54,Bridge A,171
315,Monday,2024-07-01,03:33:00,July,321,Auto,EZ Pass,Tunnel B,9,9.1,5.0,7.7,21.2,13.1,443,15:50:00,Bus,Unpaid,Tunnel B,6,True,5,499,23:05:00,9,83,Tunnel B,477
481,Monday,2024-07-01,22:46:00,July,202,Auto,EZ Pass,Tunnel B,6,7.3,12.1,6.1,-7.2,4.2,443,15:50:00,Bus,Unpaid,Tunnel B,6,True,5,497,15:17:00,9,54,Bridge A,171
481,Monday,2024-07-01,22:46:00,July,202,Auto,EZ Pass,Tunnel B,6,7.3,12.1,6.1,-7.2,4.2,443,15:50:00,Bus,Unpaid,Tunnel B,6,True,5,499,23:05:00,9,83,Tunnel B,477
7,Wednesday,2024-04-03,09:59:00,April,130,Bus,Cash,Bridge A,10,0.4,57.5,9.1,9.8,-1.2,126,02:40:00,Bus,Unpaid,Bridge A,10,True,204,382,15:56:00,20,36,Bridge A,177
7,Wednesday,2024-04-03,09:59:00,April,130,Bus,Cash,Bridge A,10,0.4,57.5,9.1,9.8,-1.2,274,15:17:00,Large Truck,Unpaid,Terminal C,8,False,272,382,15:56:00,20,36,Bridge A,177
136,Wednesday,2024-04-03,05:50:00,April,451,Large Truck,Cash,Terminal C,9,10.6,32.3,0.1,34.0,8.2,126,02:40:00,Bus,Unpaid,Bridge A,10,True,204,382,15:56:00,20,36,Bridge A,177
136,Wednesday,2024-04-03,05:50:00,April,451,Large Truck,Cash,Terminal C,9,10.6,32.3,0.1,34.0,8.2,274,15:17:00,Large Truck,Unpaid,Terminal C,8,False,272,382,15:56:00,20,36,Bridge A,177
195,Wednesday,2024-04-03,16:24:00,April,182,Bus,EZ Pass,Bridge A,10,14.2,39.5,7.8,4.6,-3.0,126,02:40:00,Bus,Unpaid,Bridge A,10,True,204,382,15:56:00,20,36,Bridge A,177
195,Wednesday,2024-04-03,16:24:00,April,182,Bus,EZ Pass,Bridge A,10,14.2,39.5,7.8,4.6,-3.0,274,15:17:00,Large Truck,Unpaid,Terminal C,8,False,272,382,15:56:00,20,36,Bridge A,177
336,Wednesday,2024-04-03,03:14:00,April,131,Large Truck,Cash,Tunnel B,1,0.9,16.9,8.9,28.4,9.6,126,02:40:00,Bus,Unpaid,Bridge A,10,True,204,382,15:56:00,20,36,Bridge A,177
336,Wednesday,2024-04-03,03:14:00,April,131,Large Truck,Cash,Tunnel B,1,0.9,16.9,8.9,28.4,9.6,274,15:17:00,Large Truck,Unpaid,Terminal C,8,False,272,382,15:56:00,20,36,Bridge A,177
10,Monday,2024-09-02,23:32:00,September,455,Large Truck,Cash,Bridge A,6,13.5,80.9,9.6,-3.7,-11.3,413,10:18:00,Auto,Paid,Terminal C,2,False,46,191,03:50:00,7,16,Terminal C,446
10,Monday,2024-09-02,23:32:00,September,455,Large Truck,Cash,Bridge A,6,13.5,80.9,9.6,-3.7,-11.3,413,10:18:00,Auto,Paid,Terminal C,2,False,46,403,13:01:00,4,10,Tunnel B,216
316,Monday,2024-09-02,14:26:00,September,372,Large Truck,EZ Pass,Tunnel B,6,10.7,10.7,4.6,30.8,0.4,413,10:18:00,Auto,Paid,Terminal C,2,False,46,191,03:50:00,7,16,Terminal C,446
316,Monday,2024-09-02,14:26:00,September,372,Large Truck,EZ Pass,Tunnel B,6,10.7,10.7,4.6,30.8,0.4,413,10:18:00,Auto,Paid,Terminal C,2,False,46,403,13:01:00,4,10,Tunnel B,216
11,Wednesday,2024-09-18,10:44:00,September,499,Bus,Cash,Tunnel B,2,15.8,97.3,7.0,27.3,26.7,145,22:28:00,Large Truck,Unpaid,Terminal C,8,True,108,485,03:26:00,3,68,Bridge A,86
